description,category,deadline_proximity,vulnerability_score,urgency_label
Relief efforts delayed due to severe weather conditions (Updated case),Education,9,82,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,29,78,Critical
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,7,53,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,3,32,Medium
New school materials needed for underprivileged children (Updated case),Medical,28,80,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,1,29,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,7,44,High
Relief efforts delayed due to severe weather conditions (Updated case),Security,7,3,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,26,30,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,9,3,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,14,69,Low
Educational program for refugees requires immediate funding (Updated case),Medical,25,21,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,27,6,High
Educational program for refugees requires immediate funding (Updated case),Logistics,5,43,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,19,10,Medium
New school materials needed for underprivileged children (Updated case),Infrastructure,9,63,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Medical,12,54,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,25,1,High
Educational program for refugees requires immediate funding (Updated case),Security,22,95,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,2,61,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,16,56,Medium
Educational program for refugees requires immediate funding (Updated case),Security,21,36,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,14,33,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,22,10,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,20,95,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,2,27,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,1,44,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,23,11,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,1,11,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,28,52,High
New school materials needed for underprivileged children (Updated case),Security,23,7,Critical
Educational program for refugees requires immediate funding (Updated case),Security,3,85,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,73,Low
Road repairs required due to heavy rainfall damage (Updated case),Medical,8,54,High
New school materials needed for underprivileged children (Updated case),Logistics,21,32,High
Educational program for refugees requires immediate funding (Updated case),Security,4,89,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,21,28,Critical
New school materials needed for underprivileged children (Updated case),Education,9,73,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,21,53,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,7,61,High
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,18,51,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,20,27,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,12,27,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,26,96,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,17,90,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,24,78,High
Urgent need for medical supplies in rural areas (Updated case),Medical,1,66,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,29,32,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,1,82,Low
Educational program for refugees requires immediate funding (Updated case),Security,3,37,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,1,25,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,27,13,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,30,14,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,15,92,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,16,88,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,9,53,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,22,32,High
New school materials needed for underprivileged children (Updated case),Security,27,85,High
Urgent need for medical supplies in rural areas (Updated case),Security,28,44,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,1,10,Low
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,19,17,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,1,57,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,1,37,High
New school materials needed for underprivileged children (Updated case),Logistics,17,91,Medium
Road repairs required due to heavy rainfall damage (Updated case),Logistics,5,40,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,16,49,Medium
Road repairs required due to heavy rainfall damage (Updated case),Logistics,8,20,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,19,40,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,2,12,Critical
Educational program for refugees requires immediate funding (Updated case),Education,5,36,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,11,49,Critical
Urgent need for medical supplies in rural areas (Updated case),Security,25,11,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,27,40,High
Road repairs required due to heavy rainfall damage (Updated case),Security,6,63,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,16,64,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,1,29,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,18,91,High
Relief efforts delayed due to severe weather conditions (Updated case),Medical,9,57,High
New school materials needed for underprivileged children (Updated case),Medical,16,38,High
Road repairs required due to heavy rainfall damage (Updated case),Education,1,60,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,20,12,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,22,4,High
Educational program for refugees requires immediate funding (Updated case),Logistics,31,53,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,27,8,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,1,1,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,23,31,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,10,73,High
New school materials needed for underprivileged children (Updated case),Infrastructure,11,25,High
Road repairs required due to heavy rainfall damage (Updated case),Security,1,26,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,14,36,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,2,100,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,24,92,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,20,88,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,13,45,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,8,72,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,13,90,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,16,8,Critical
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,17,71,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,12,32,Critical
Urgent need for medical supplies in rural areas (Updated case),Security,4,17,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,3,57,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,1,39,Critical
New school materials needed for underprivileged children (Updated case),Logistics,32,67,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,20,38,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,17,55,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,8,25,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,26,19,High
Educational program for refugees requires immediate funding (Updated case),Medical,22,49,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,18,72,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,15,62,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,6,49,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,14,32,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,22,58,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,21,49,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Medical,7,94,Medium
New school materials needed for underprivileged children (Updated case),Infrastructure,31,66,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,12,71,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,27,85,High
Educational program for refugees requires immediate funding (Updated case),Logistics,19,24,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,25,28,Critical
Educational program for refugees requires immediate funding (Updated case),Infrastructure,15,16,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,28,46,High
Educational program for refugees requires immediate funding (Updated case),Logistics,11,31,High
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,1,53,High
New school materials needed for underprivileged children (Updated case),Infrastructure,22,8,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,13,46,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,31,97,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,9,13,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,16,68,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,8,30,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,17,26,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,19,9,Medium
Educational program for refugees requires immediate funding (Updated case),Education,14,35,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,23,5,Low
New school materials needed for underprivileged children (Updated case),Logistics,28,68,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,18,23,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,8,14,High
Relief efforts delayed due to severe weather conditions (Updated case),Medical,7,2,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,27,89,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,33,83,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,21,75,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,27,4,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,9,46,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,23,58,Critical
Educational program for refugees requires immediate funding (Updated case),Medical,15,36,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,14,100,Critical
Urgent need for medical supplies in rural areas (Updated case),Education,21,99,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,16,43,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,23,72,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,24,92,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,22,19,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,29,74,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,29,90,Critical
Urgent need for medical supplies in rural areas (Updated case),Security,13,7,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,24,93,High
Educational program for refugees requires immediate funding (Updated case),Education,22,23,Critical
New school materials needed for underprivileged children (Updated case),Education,3,87,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,18,1,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,8,9,High
Educational program for refugees requires immediate funding (Updated case),Medical,14,29,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,12,19,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,15,31,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,88,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,31,53,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,14,86,High
New school materials needed for underprivileged children (Updated case),Security,22,40,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,12,10,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,10,29,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,14,99,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,15,85,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,25,66,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,25,10,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,22,1,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,13,86,High
Road repairs required due to heavy rainfall damage (Updated case),Education,1,63,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,27,16,High
New school materials needed for underprivileged children (Updated case),Security,4,34,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,1,16,Medium
New school materials needed for underprivileged children (Updated case),Medical,24,100,Low
Educational program for refugees requires immediate funding (Updated case),Infrastructure,29,45,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,13,1,Critical
New school materials needed for underprivileged children (Updated case),Logistics,28,18,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,30,59,Low
Educational program for refugees requires immediate funding (Updated case),Education,4,83,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,29,62,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,9,35,Critical
New school materials needed for underprivileged children (Updated case),Infrastructure,9,11,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,9,1,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,16,28,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,28,45,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,1,55,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,21,82,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,20,84,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,10,19,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,11,24,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,11,86,High
Urgent need for medical supplies in rural areas (Updated case),Logistics,1,25,Critical
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,24,10,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,16,60,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,6,98,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,24,80,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,13,34,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,16,28,High
Educational program for refugees requires immediate funding (Updated case),Medical,5,84,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,17,77,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,20,83,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,11,91,Low
Relief efforts delayed due to severe weather conditions (Updated case),Security,3,14,High
Urgent need for medical supplies in rural areas (Updated case),Medical,1,25,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,11,47,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,20,69,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,15,60,High
Educational program for refugees requires immediate funding (Updated case),Education,10,100,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,8,54,Medium
Educational program for refugees requires immediate funding (Updated case),Education,23,83,Critical
New school materials needed for underprivileged children (Updated case),Security,13,36,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,24,15,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Medical,4,42,Critical
Educational program for refugees requires immediate funding (Updated case),Security,8,92,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,15,36,High
New school materials needed for underprivileged children (Updated case),Education,3,70,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,7,60,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,18,31,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,17,58,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,21,46,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,6,32,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,8,44,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,11,62,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,6,95,High
Relief efforts delayed due to severe weather conditions (Updated case),Security,7,62,Low
New school materials needed for underprivileged children (Updated case),Medical,21,38,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,26,39,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,13,1,High
Urgent need for medical supplies in rural areas (Updated case),Logistics,14,72,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,23,6,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,14,36,Low
New school materials needed for underprivileged children (Updated case),Education,4,2,High
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,3,31,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,26,1,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,12,1,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,2,27,Critical
New school materials needed for underprivileged children (Updated case),Security,4,12,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,8,74,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,16,74,Low
Logistical delays affecting food distribution in remote villages (Updated case),Security,13,87,Critical
Educational program for refugees requires immediate funding (Updated case),Education,19,27,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,34,65,High
Urgent need for medical supplies in rural areas (Updated case),Security,12,39,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,13,69,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,10,51,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,8,65,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,9,7,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,1,57,Low
New school materials needed for underprivileged children (Updated case),Security,27,31,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,41,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,10,59,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,11,7,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,7,100,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,27,62,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,12,89,High
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,4,16,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,20,79,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,28,31,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,17,38,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Medical,33,14,Low
Educational program for refugees requires immediate funding (Updated case),Security,23,78,Low
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,16,32,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,15,73,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,2,99,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,23,50,High
Urgent need for medical supplies in rural areas (Updated case),Security,31,76,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,20,28,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,19,64,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,10,39,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,21,76,Low
Urgent need for medical supplies in rural areas (Updated case),Security,27,1,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,17,62,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,31,75,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,1,1,High
New school materials needed for underprivileged children (Updated case),Medical,1,47,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,11,37,High
Logistical delays affecting food distribution in remote villages (Updated case),Medical,31,40,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,6,19,Low
Relief efforts delayed due to severe weather conditions (Updated case),Medical,30,37,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,22,8,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,2,15,Critical
Educational program for refugees requires immediate funding (Updated case),Infrastructure,24,61,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,10,67,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,17,38,Critical
Educational program for refugees requires immediate funding (Updated case),Education,22,44,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,9,16,Critical
Educational program for refugees requires immediate funding (Updated case),Education,21,63,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,16,48,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,16,50,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,18,21,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,3,18,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,32,54,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,4,52,Medium
Educational program for refugees requires immediate funding (Updated case),Security,9,38,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,13,95,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,7,3,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,20,30,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,9,82,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,15,84,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,8,12,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,26,43,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,19,100,High
Relief efforts delayed due to severe weather conditions (Updated case),Medical,5,59,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,10,65,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,25,71,Low
Educational program for refugees requires immediate funding (Updated case),Medical,1,10,Low
Relief efforts delayed due to severe weather conditions (Updated case),Medical,19,62,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,12,28,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,5,52,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,23,7,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,21,20,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,9,23,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,14,89,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,1,30,High
Educational program for refugees requires immediate funding (Updated case),Medical,7,27,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,3,44,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,26,18,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,27,94,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,5,73,Critical
New school materials needed for underprivileged children (Updated case),Infrastructure,19,2,Low
Educational program for refugees requires immediate funding (Updated case),Medical,20,12,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,23,89,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,6,43,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,15,8,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,10,27,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,12,27,Medium
Educational program for refugees requires immediate funding (Updated case),Education,1,1,Medium
Urgent need for medical supplies in rural areas (Updated case),Education,13,60,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,13,36,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,7,70,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,16,93,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,9,85,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,27,37,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,4,63,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,8,80,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Medical,16,13,Medium
Urgent need for medical supplies in rural areas (Updated case),Logistics,16,2,High
New school materials needed for underprivileged children (Updated case),Logistics,12,42,Critical
Educational program for refugees requires immediate funding (Updated case),Infrastructure,17,33,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,11,53,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,20,51,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,26,24,High
Road repairs required due to heavy rainfall damage (Updated case),Security,20,12,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,6,56,High
Road repairs required due to heavy rainfall damage (Updated case),Security,20,21,High
Urgent need for medical supplies in rural areas (Updated case),Medical,14,14,Low
Relief efforts delayed due to severe weather conditions (Updated case),Security,18,24,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,33,97,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,30,17,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,18,88,Critical
Road repairs required due to heavy rainfall damage (Updated case),Education,24,9,High
Educational program for refugees requires immediate funding (Updated case),Education,1,53,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,24,33,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,15,44,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,25,100,High
New school materials needed for underprivileged children (Updated case),Education,15,11,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,17,49,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,6,20,Critical
Educational program for refugees requires immediate funding (Updated case),Education,22,19,Low
New school materials needed for underprivileged children (Updated case),Logistics,7,44,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,22,1,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,18,57,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,24,2,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,11,100,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,18,40,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,7,30,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,7,50,Low
New school materials needed for underprivileged children (Updated case),Logistics,4,64,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,13,89,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,20,66,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,3,46,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,10,23,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,81,High
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,2,71,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Medical,8,72,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,16,57,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,25,27,Critical
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,21,83,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,19,19,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,14,24,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,34,45,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,7,94,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,20,58,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,17,97,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,28,57,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,20,80,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,13,55,Low
